number,StreetName,City,County,LOC_PAGE,LOC_LONG,LOC_LAT,APN,TOMBROBOX
,,,,,,,,
,,,,,,,,
,,Los Altos Hills,Santa Clara,,,,,
,,Los Altos Hills,,,,,,
12824,Brendel Dr.,Los Altos Hills,Santa Clara,51,C,5,,
64,Madrone Park Circle,Mill Valley,San Francisco,12B,D,3,,
1125,Barcelona Drive,Pacifica,San Mateo,20,F,6,,
13651,Paseo Del Roblei,Los Altos Hills,Santa Clara,50,E,3,,
12002,Old Snakey Road,Los Altos Hills,Santa Clara,51,B,6,,
16388,Sanborn Road,Saratoga,Santa Clara,69,C,3,,
291,Claudia,Moraga,Contra Costa,74,A,4,,
,,,Mendocino,,,,,
175,Westhill Drive,Los Gatos,Santa Clara,71,D,3,,
26335,Esperanza,Los Altos Hills,Santa Clara,51,B,3,,
1408,Avondale Road,Hillsborough,San Mateo,28,F,6,,
2340,Banner Drive,Menlo Park,San Mateo,43,C,4,,
12331,Ted Court,Saratoga,Santa Clara,65,A,2,,
223,Exeter Avenue,San Carlos,San Mateo,33,A,5,,
141,Minorca Way,Millbrae,San Mateo,26,C,6,,
12264,Tepa Way,Los Altos Hills,Santa Clara,51,C,6,,
26425,Aric Lane,Los Altos Hills,Santa Clara,51,B,2,,
2110,Forest Avenue,Belmont,San Mateo,32,E,3,,
1510,Mt. Whitney Drive,San Jose,Santa Clara,63,B,1,,
3513,Chablis Circle,San Jose,Santa Clara,65,A,4,,
360,Henderson Drive,San Jose,Santa Clara,72,B,3,,
74,Loyden Drive,Atherton,San Mateo,37,,,,C4
12579,Corbetta Lane,Los Altos Hills,Santa Clara,51,B,6,,
422,West 39th Avenue,San Mateo,San Mateo,32,E,3,,
20865,Michaels Drive,Saratoga,Santa Clara,64,E,5,,
5161,Baron Park Drive,San Jose,Santa Clara,67,E,6,,
940,La Mesa Drive,Ladera Heights,San Mateo,43,C,6,,
10532,Esquire Place,Cupertino,Santa Clara,59,E,3,,
569,Compas Circle,Redwood Shores,San Mateo,33,D,3,,
540,Fathem Drive,San Mateo,San Mateo,29A,A,4,,
121,Escanro Way,Ladera Heights,San Mateo,47,C,1,,
1077,Vista Del Mar,San Jose,Santa Clara,55,F,1,,
350,Bridge Avenue,Hillsborough,San Mateo,29,C,6,,
305,Rollings Hills,San Mateo,San Mateo,32,F,3,,
1080,Continental Drive,Sharon Heights,San Mateo,43,B,3,,
186,Marion Avenue,Mill Valley,Marin,12C,A,4,,
2275,Pulgas Avenue,E. Palo Alto,Santa Clara,38,C,4,,
940,S. Fremont Street,San Mateo,San Mateo,29,D,4,,
526,Virginia Avenue,San Mateo,San Mateo,28,C,5,,
4106,Marsten Avenue,Belmont,San Mateo,28,F,1,,
1135,Deanna Court,Morgan Hill,Santa Clara,79,B,4,,
802,Coffey Court,San Jose,Santa Clara,72,E,2,,
17250,Sunshine Lane,Lexington,Santa Clara,73,F,6,,
777,Kendall Avenue,Palo Alto,Santa Clara,44,C,5,,
2397,Panoramic Drive,Concord,Contra Costa,13,E,3,,
435,Golden Oak,Portola Valley,San Mateo,47,C,2,,
117,Ridge Road,San Anselmo,Marin,6D,E,5,,
