"StructureType","Address","City","County","LOC_PAGE","LOC_LONG","LOC_LAT","APN","Fault","SiteNumber","TOMBROBOX"
"Addition","Kent Rd.","Pacifica","San Mateo","20","D","6","TBC","TBC","235","TBC"
"Addition","Guildford Ave.","San Mateo","San Mateo","TBC","TBC","TBC","TBC","TBC","814","TBC"
"Addition","Madrone Ave.","Pescadero","San Mateo","57","D","3","TBC","TBC","503","TBC"
"Addition","DURAZNO WAY","TBC","SAN MATEO","TBC","TBC","Pg. 43, C-","000-000-000","TBC","251","TBC"
"Addition","DURAZNO WAY","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","251","TBC"
"Addition","RUSSELL AVENUE","Portola Valley","TBC","TBC","TBC","TBC","000-000-000","TBC","136","TBC"
"Addition","Byron Street","Palo Alto","Santa Clara","38","A","6","TBC","TBC","235","TBC"
"Addition","Valencia Court","Portola Valley","San Mateo","47","C","3","TBC","TBC","30","TBC"
"Addition","Pike Road","Saratoga","Santa Clara","64","E","5","TBC","TBC","13991","TBC"
"Addition","OLIVE HILL LANE","WOODSIDE","TBC","TBC","TBC","TBC","072-130-290","TBC","131","TBC"
"Addition","Wayside Road","Portola Valley","San Mateo","46","E","3","TBC","TBC","797","TBC"
"Addition","OLIVE HILL ROAD","WOODSIDE","TBC","TBC","TBC","TBC","000-000-000","TBC","131","TBC"
"Addition","OLIVE HILL ROAD","WOODSIDE","TBC","TBC","TBC","TBC","000-000-000","TBC","131","TBC"
"Addition","Bear Gulch Drive","Portola Valley","San Mateo","47","C","3","TBC","TBC","140","TBC"
"Addition","Woodland Avenue","Menlo Park","San Mateo","38","A","5","TBC","TBC","1200","TBC"
"Addition","Meadowood Drive","Portola Valley","San Mateo","47","A","2","TBC","TBC","165","TBC"
"Addition","SOUSA LANE","Saratoga","TBC","TBC","TBC","TBC","000-000-000","TBC","13393","TBC"
"Addition","SOUSA LANE","Saratoga","TBC","TBC","TBC","TBC","000-000-000","TBC","13393","TBC"
"Addition","Joaguin Road","TBC","San Mateo","51","C","2","TBC","TBC","60","TBC"
"Addition","Otis Avenue","Woodside","San Mateo County","42","D","2","TBC","TBC","140","TBC"
"Addition","MARGARITA AVENUE","Palo Alto","TBC","TBC","TBC","TBC","000-000-000","TBC","274","TBC"
"Addition","LA QUESTA WAY","Woodside","TBC","TBC","TBC","TBC","000-000-000","TBC","351","TBC"
"Addition","PROSPECT ROAD","SARATOGA","TBC","TBC","TBC","TBC","000-000-000","TBC","21555","TBC"
"Addition","Racoon Ct.","Morgan Hill","Santa Clara","80","C","1","TBC","TBC","17640","TBC"
"Addition","Greenwood Lane","Monte Sereno","Santa Clara","70","C","3","TBC","TBC","16240","TBC"
"Addition","Stevens Canyon Road","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","10775","TBC"
"Addition","Canyon View Dr.","San Jose","Santa Clara","48","E","5","TBC","TBC","1671","TBC"
"Addition","STAR RIDGE COURT","Saratoga","TBC","TBC","TBC","TBC","000-000-000","TBC","12833","TBC"
"Addition","STEVENS CANYON ROAD","CUPERTINO","TBC","TBC","TBC","TBC","000-000-000","TBC","10775","TBC"
"Addition","Canyon View Dr.","San Jose","Santa Clara","48","E","5","TBC","TBC","1671","TBC"
"Addition","Mountain Home Road","Woodside","San Mateo","42","D","5","TBC","TBC","1000","TBC"
"Addition","Palm Cirlce","Woodside","San Mateo","36","B","6","TBC","TBC","11","TBC"
"Addition","TBC","TBC","TBC","46","C","3","TBC","TBC","TBC","TBC"
"Addition","SAGUARE TERRACE","Fremont","TBC","TBC","TBC","TBC","000-000-000","TBC","1180","TBC"
"Addition","Pierce Road","Saratoga","Santa Clara","64","D","5","TBC","TBC","13850","TBC"
"Addition","SIERRA DRIVE","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","1036","TBC"
"Addition","SIERRA DRIVE","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","1036","TBC"
"Addition","Trinity Lane","Portola Valley","San Mateo","46","E","3","TBC","TBC","175","TBC"
"Addition","SIERRA DRIVE","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","1036","TBC"
"Addition","SIERRA DRIVE","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","1036","TBC"
"Addition","TEMESCAL WAY","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","759","TBC"
"Addition","STONEBROOK DRIVE","LOS ALTOS HILLS","TBC","TBC","TBC","TBC","000-000-000","TBC","15833","TBC"
"Addition","Country Club Dr.","Los Altos","Santa Clara","58","F","1","TBC","TBC","1508","TBC"
"Addition","STONEBROOK DRIVE","LOS ALTOS HILLS","TBC","TBC","TBC","TBC","000-000-000","TBC","15833","TBC"
"Addition","STONEBROOK DRIVE","LOS ALTOS HILLS","TBC","TBC","TBC","TBC","000-000-000","TBC","15833","TBC"
"Addition","STONEBROOK DRIVE","LOS ALTOS HILLS","TBC","TBC","TBC","TBC","000-000-000","TBC","15833","TBC"
"Addition","Morgan Drive","Los Altos","Santa Clara","51","F","5","TBC","TBC","722","TBC"
"Addition","Valley Oak","Portola Valley","San Mateo","47","B","5","TBC","TBC","5","TBC"
"Addition","Rapley Ranch Road","TBC","San Mateo","50","F","3","080-320-020","TBC","TBC","TBC"
"Addition","Russell Ave","Portola Valley","San Mateo","46","E","3","TBC","TBC","139","TBC"
"Addition","Hickory Court","Santa Clara","Santa Clara","60","D","3","TBC","TBC","603","TBC"
"Addition","ROCKY WAY","Woodside","TBC","TBC","TBC","TBC","000-000-000","TBC","514","TBC"
"Addition","Upper Zayante Road","TBC","Santa Cruz","73","B","6","TBC","TBC","20950","TBC"
"Addition","ROCKY WAY","Woodside","TBC","TBC","TBC","TBC","000-000-000","TBC","514","TBC"
"Addition","Skyline Boulevard","Woodside","San Mateo County","41","F","6","TBC","TBC","15975","TBC"
"Addition","Blue Oak Ranch","TBC","Santa Clara","56","C","3","TBC","TBC","TBC","TBC"
"Addition","AQUA VIEW DRIVE","La Selva Beach","TBC","TBC","TBC","TBC","000-000-000","TBC","12","TBC"
"Addition","AQUA VIEW DRIVE","La Selva Beach","TBC","TBC","TBC","TBC","000-000-000","TBC","12","TBC"
"Addition","Madonna Way","Los Altos","Santa Clara County","51","E","5","TBC","TBC","852","TBC"
"Addition","HARDWICK ROAD","Woodside","TBC","TBC","TBC","TBC","000-000-000","TBC","255","TBC"
"Addition","Lariat Lane","San Jose","Santa Clara","TBC","TBC","PG 56 A-1","000-000-000","TBC","688","TBC"
"Addition","CORTE MADERA ROAD","Portola Valley","TBC","TBC","TBC","TBC","000-000-000","TBC","186","TBC"
"Addition","LUCY LANE","TBC","SAN MATEO","TBC","TBC","PG 44 C-2","000-000-000","TBC","501","TBC"
"Addition","VAQUERO COURT","SARATOGA","TBC","TBC","TBC","TBC","050-314-042","TBC","13648","TBC"
"Addition","Cima Way","Portola Valley","San Mateo","47","B","4","TBC","TBC","30","TBC"
"Addition","Pierce","Saratoga","Santa Clara","65","A","3","TBC","TBC","13850","TBC"
"Addition","MOODY ROAD","LOS ALTOS HILLS","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","27050","TBC"
"Addition","ROQUENA DRIVE","La Honda","TBC","TBC","TBC","TBC","000-000-000","TBC","215","TBC"
"Addition","HIGUERA ROAD","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","3821","TBC"
"Addition","HIGUERA ROAD","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","3821","TBC"
"Addition","LOMA VISTA","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","15810","TBC"
"Addition","WILLOSBROOK DRIVE","Portola Valley","TBC","TBC","TBC","TBC","000-000-000","TBC","200","TBC"
"Addition","Otis Avenue","Woodside","San Mateo","42","D","2","TBC","TBC","168","TBC"
"Addition","Surrey Lane","Saratoga","Santa Clara","64","F","4","TBC","TBC","13750","TBC"
"Addition","Monte Rosa Drive","Sharon Heights","San Mateo County","43","C","3","TBC","TBC","988","TBC"
"Addition","MOORE ROAD","Woodside","TBC","TBC","TBC","TBC","000-000-000","TBC","1978","TBC"
"Addition","MOORE ROAD","Woodside","TBC","TBC","TBC","TBC","000-000-000","TBC","1144","TBC"
"Addition","ASPEN DRIVE","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","22855","TBC"
"Addition","ASPEN DRIVE","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","22855","TBC"
"Addition","Amherst Court","Los Altos Hills","Santa Clara","50","F","2","TBC","TBC","14227","TBC"
"Addition","SKYLAND ROAD","TBC","SANTA CRUZ","TBC","TBC","TBC","000-000-000","TBC","24991","TBC"
"Addition","Wood Acres Road","Los Gatos","Santa Clara","TBC","TBC","TBC","000-000-000","TBC","16451","TBC"
"Addition","Lupton Avenue","San Jose","Santa Clara","TBC","TBC","TBC","TBC","TBC","1414","TBC"
"Addition","Padre Court","Los Altos Hills","Santa Clara","51","C","6","TBC","TBC","12195","TBC"
"Addition","Nathhorst","Portola Valley","San Mateo","47","B","4","TBC","TBC","235","TBC"
"Addition","DEER SPRINGS WAY","Los Altos Hills","TBC","TBC","TBC","TBC","000-000-000","TBC","27233","TBC"
"Addition","Bershire Drive","TBC","Santa Clara County","58","E","2","TBC","TBC","10455","TBC"
"Addition","Paseo Del Roble","Los Altos Hills","Santa Clara","50","F","3","TBC","TBC","13641","TBC"
"Addition","CHESHAM AVENUE","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","124","TBC"
"Addition","Grove Drive","Portola Valley","San Mateo","47","A","3","TBC","TBC","118","TBC"
"Addition","Reimillard","Hillsborough","San Mateo","28","F","5","TBC","TBC","440","TBC"
"Addition","Russell Avenue","Portola Valley","San Mateo","46","E","3","TBC","TBC","134","TBC"
"Addition","Cascade Court","Menlo Park","San Mateo","43","B","3","TBC","TBC","1064","TBC"
"Addition","Meadowood Dr.","Portola Valley","San Mateo","47","A","2","TBC","TBC","160","TBC"
"Addition","Fernside St.","Woodside","San Mateo","36","E","6","TBC","TBC","1730","TBC"
"Addition","Summit Drive","Hillsborough","TBC","TBC","TBC","TBC","000-000-000","TBC","2265","TBC"
"Addition","Summit Drive","Hillsborough","TBC","TBC","TBC","TBC","000-000-000","TBC","2265","TBC"
"Addition","Sunrise Drive","Woodside","San Mateo","46","C","1","TBC","TBC","125","TBC"
"Addition","San Juan Road","Cupertino","Santa Clara","59","C","5","TBC","TBC","22635","TBC"
"Addition","Sobey Road","Saratoga","Santa Clara","65","L","6","TBC","TBC","15217","TBC"
"Addition","Woodside Road","Woodside","San Mateo","42","C","4","TBC","TBC","3555","TBC"
"Addition","Wildcrest Drive","Los Altos Hills","TBC","TBC","TBC","TBC","000-000-000","TBC","13581","TBC"
"Addition","Coquito Ct.","Ladera Heights","San Mateo","47","B","1","TBC","TBC","34","TBC"
"Addition","Alta Mesa Road","Woodside","San Mateo","42","D","2","TBC","TBC","174","TBC"
"Addition","Belblossom","Los Gatos","Santa Clara","71","D","3","TBC","TBC","252","TBC"
"Addition","DEERFIELD ROAD","TBC","Santa Cruz","TBC","TBC","TBC","000-000-000","TBC","23374","TBC"
"Addition","WOOD ACRES ROAD","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","16451","TBC"
"Addition","KENNEDY ROAD","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","16701","TBC"
"Addition","Vinedo Lane","Los Altos Hills","Santa Clara","51","C","5","TBC","TBC","25851","TBC"
"Addition","VOSS AVENUE","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","22999","TBC"
"Addition","PEARL STREET","Santa Cruz","TBC","TBC","TBC","TBC","000-000-000","TBC","221","TBC"
"Addition","Raymundo Dr.","Woodside","San Mateo","42","B","1","TBC","TBC","173","TBC"
"Addition","UPPER HILL COURT","Saratoga","TBC","TBC","TBC","TBC","000-000-000","TBC","13889","TBC"
"Addition","Foxwood Dr.","Portola Valley","San Mateo","51","C","1","TBC","TBC","116","TBC"
"Addition","BEAVER LANE","Los Altos Hills","TBC","TBC","TBC","TBC","000-000-000","TBC","26998","TBC"
"Apartment","CALVERT STREET","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","202","TBC"
"Apartment","MELENDY DRIVE","San Carlos","TBC","TBC","TBC","TBC","000-000-000","TBC","2700","TBC"
"Apartment","MELENDY DRIVE","San Carlos","TBC","TBC","TBC","TBC","000-000-000","TBC","2700","TBC"
"Apartment","EAST FREMONT AVENUE","Sunnyvale","SANTA CLARA","TBC","TBC","PG 59 D-1","000-000-000","TBC","815","TBC"
"Apartment","CULVERT DRIVE","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","175","TBC"
"BARN","SOQUEL-SAN JOSE ROAD","Los Gatos","Santa Cruz","TBC","TBC","TBC","000-000-000","TBC","24915","TBC"
"BARN","BEAR GULCH ROAD","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","2630","TBC"
"Barn/Water Tower","SOQUEL-SAN JOSE ROAD","TBC","Santa Cruz","TBC","TBC","TBC","000-000-000","TBC","24915","TBC"
"Basement","TRINITY DRIVE","Menlo Park","TBC","TBC","TBC","TBC","000-000-000","TBC","1025","TBC"
"Basement","TRINITY DRIVE","Menlo Park","TBC","TBC","TBC","TBC","000-000-000","TBC","1025","TBC"
"Basement","Tennyson Avenue","Palo Alto","TBC","TBC","TBC","TBC","000-000-000","TBC","184","TBC"
"Basement","GUINDA STREET","Palo Alto","TBC","TBC","TBC","TBC","000-000-000","TBC","1745","TBC"
"Basement","CANYON VIEW DRIVE","Saratoga","SANTA CLARA","TBC","TBC","PG 64 C-1","000-000-000","TBC","20910","TBC"
"Basement","KIRKWOOD WAY","San Carlos","SAN MATEO","TBC","TBC","PG 33 B-5","000-000-000","TBC","23","TBC"
"Basement","BLAKEWOOD WAY","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","323","TBC"
"Basement","UNIVERSITY AVENUE","Palo Alto","TBC","TBC","TBC","TBC","000-000-000","TBC","1870","TBC"
"Basement","BANK MILL LANE","Saratoga","TBC","TBC","TBC","TBC","000-000-000","TBC","21075","TBC"
"Basement","LINCOLN AVENUE","San Jose","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","1174","TBC"
"Basement","STATE STREET","San Mateo","TBC","TBC","TBC","TBC","000-000-000","TBC","215","TBC"
"Basement","STATE STREET","San Mateo","TBC","TBC","TBC","TBC","000-000-000","TBC","215","TBC"
"Bluff Stabilization","West Seacliff Drive","Aptos","TBC","TBC","TBC","TBC","000-000-000","TBC","735","TBC"
"Bridge","WILLOWBROOK DRIVE","Portola Valley","TBC","TBC","TBC","TBC","000-000-000","TBC","255","TBC"
"Bridge","2 Mi. West Loma Mar","Pescadero","San Mateo","TBC","TBC","TBC","TBC","TBC","TBC","TBC"
"Bridge","Greek Road","Woodside","San Mateo","42B","TBC","TBC","TBC","TBC","280","TBC"
"Bridge","LA HONDA ROAD","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","5360","TBC"
"Bridge","LA HONDA ROAD","TBC","SAN MATEO","TBC","TBC","TBC","000-000-000","TBC","5360","TBC"
"Bridge","Fern Ave. Bridge","Pescadero","San Mateo","57","D","3","TBC","TBC","TBC","TBC"
"cart path","ALUM ROCK AVENUE","San Jose","TBC","TBC","TBC","TBC","000-000-000","TBC","15571","TBC"
"Chimmney","STOCKTON STREET","Salinas","TBC","TBC","TBC","TBC","000-000-000","TBC","511","TBC"
"Church","HILLSDALE AVENUE","San Jose","TBC","TBC","TBC","TBC","000-000-000","TBC","545","TBC"
"Church","HILLSDALE AVENUE","San Jose","TBC","TBC","TBC","TBC","000-000-000","TBC","545","TBC"
"Commercial Bldg","PINE STREET","San Francisco","TBC","TBC","TBC","TBC","000-000-000","TBC","2655","TBC"
"Commercial Bldg","ROLISON ROAD","Redwood City","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Commercial Bldg","JEFFERSON AVENUE","Redwood City","TBC","TBC","TBC","TBC","000-000-000","TBC","3631","TBC"
"Commercial Bldg","JEFFERSON AVENUE","Redwood City","TBC","TBC","TBC","TBC","000-000-000","TBC","3631","TBC"
"Commercial Bldg","W. LOS POSITAS BLVD.","Pleasanton","TBC","TBC","TBC","TBC","000-000-000","TBC","5758","TBC"
"Commercial Bldg","SCOTT BOULEVARD","Santa Clara","TBC","TBC","TBC","TBC","000-000-000","TBC","2908","TBC"
"Commercial Bldg","TERRABAY DEVELOPMENT","South San Francisco","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Commercial Bldg","STEVENS CREEK BOULEVARD","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","24001","TBC"
"Commercial Bldg","STEVENS CREEK BOULEVARD","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","24001","TBC"
"Commercial Bldg","STEVENS CREEK BOULEVARD","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","24001","TBC"
"Commercial Bldg","TBC","San Mateo","TBC","TBC","TBC","TBC","000-000-000","TBC","510","TBC"
"Commercial Bldg","SOLAR WAY","Fremont","ALAMEDA","TBC","TBC","PG 110 B-5","000-000-000","TBC","4268","TBC"
"Commercial Bldg","TBC","Marin","Marin","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Commercial Bldg","EL CAMINO ROAD","Belmont","TBC","TBC","TBC","TBC","000-000-000","TBC","730","TBC"
"Commercial Bldg","EL CAMINO ROAD","Belmont","TBC","TBC","TBC","TBC","000-000-000","TBC","720","TBC"
"Commercial Bldg","Paul Suite Road","Santa Cruz","Santa Cruz","TBC","TBC","TBC","TBC","TBC","3301","TBC"
"Commercial Bldg","THE GREAT MALL","Milpitas","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Commercial Bldg","FORBES BOULEVARD","South San Francisco","TBC","TBC","TBC","TBC","000-000-000","TBC","560","TBC"
"Commercial Bldg","SAGA LANE","MENLO PARK","CALIFORNIA","TBC","TBC","TBC","000-000-000","TBC","1","TBC"
"Commercial Bldg","SAGA LANE","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","1","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","PASEO PADRE PARKWAY","Fremont","TBC","TBC","TBC","TBC","000-000-000","TBC","6500","TBC"
"Commercial Bldg","WEST HARDER ROAD","Hayward","ALAMEDA","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Commercial Bldg","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC"
"Commercial Bldg","WEST HARDER ROAD","Hayward","TBC","TBC","TBC","TBC","000-000-000","TBC","404","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","TBC","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SAND HILL ROAD","MENLO PARK","San Mateo","TBC","TBC","TBC","000-000-000","TBC","2400","TBC"
"Commercial Bldg","SKYLINE BOULEVARD","TBC","SAN MATEO","TBC","TBC","Pg. 21, B-","000-000-000","TBC","TBC","TBC"
"Commercial Bldg","THE GREAT MALL","Milpitas","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Commercial Building","Rogers Ave.","San Jose","Santa Clara County","54","E","4","TBC","TBC","1675","TBC"
"Commercial Building","Fifth & Keyes","San Jose","Santa Clara","62","C","4","TBC","TBC","TBC","TBC"
"Commercial Building","Silver Leaf Dr.","Watsonville","Santa Cruz","81","98","78","TBC","TBC","TBC","TBC"
"Commercial Building","Stone Avenue","San Jose","Santa Clara","67","C","1","TBC","TBC","1830-1836","TBC"
"Commercial Building","S. Santa Cruz Avenue","Los Gatos","Santa Clara","70","D","5","TBC","TBC","200","TBC"
"Commercial Building","Willow Road","Menlo Park","San Mateo","38","A","4","062-214-110","TBC","944","TBC"
"Commercial Building","Reese Circle","Prunedale","Monterey County","214","F","2","TBC","TBC","TBC","TBC"
"Commercial Building","Almaden & Alma","San Jose","Santa Clara","62","C","5","TBC","TBC","TBC","TBC"
"Commercial Building","Union City Blvd.","Union City","San Mateo","60","D","7","TBC","TBC","30100","TBC"
"Commercial Building","South 1st St.","San Jose","Santa Clara","62","B","3","TBC","TBC","407 & 409","TBC"
"Concrete Deck","Vogue Ct.","Los Altos Hills","Santa Clara","51","B","4","TBC","TBC","27664","TBC"
"Concrete Deck","Adragna Court","San Jose","Santa Clara","67","F","5","TBC","TBC","4442","TBC"
"Concrete Deck","Verde Vista Lane","Saratoga","Santa Clara","64","F","5","TBC","TBC","20850","TBC"
"Condo/Townhouse","VILLA MARIA COURT","San Jose","TBC","TBC","TBC","TBC","000-000-000","TBC","1051","TBC"
"Condo/Townhouse","WILLOW STREET","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","RAINBOW DRIVE","Cupertino","TBC","TBC","TBC","TBC","000-000-000","TBC","7050","TBC"
"Condo/Townhouse","WILLOW STREET","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","Rainbow Drive","Cupertino","Santa Clara","TBC","TBC","TBC","000-000-000","TBC","7050","TBC"
"Condo/Townhouse","WILLOW STREET","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","WILLOW STREET","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","WILLOW STREET AND MINNESOTA AV","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5413","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5407","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5440","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5413","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5362","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5401","TBC"
"Condo/Townhouse","COLONY GREEN DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5355","TBC"
"Condo/Townhouse","COLONY FIELD DRIVE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","5452","TBC"
"Condo/Townhouse","MINNESOTA AVENUE","SAN JOSE","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","GATE WAY","Santa Rosa","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","GOLF LINKS CIRCLE","Santa Clara","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","2415","TBC"
"Condo/Townhouse","TRINIDAD DRIVE","San Jose","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Condo/Townhouse","GLENCOVE LANDING","Vallejo","TBC","TBC","TBC","TBC","000-000-000","TBC","TBC","TBC"
"Construction Observ.","Amato Avenue","Campbell","Santa Clara","65","F","3","TBC","TBC","106","TBC"
"Construction Observ.","Montevina Rd.","TBC","Santa Clara","70","A","6","TBC","TBC","19500","TBC"
"Construction Observ.","Wedgewood Ave.","Los Gatos","Santa Clara","65","F","6","TBC","TBC","TBC","TBC"
"Construction Observ.","TBC","Los Altos Hills","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC"
"Construction Observ.","TBC","Los Altos Hills","Santa Clara","TBC","TBC","TBC","TBC","TBC","TBC","TBC"
"Construction Observ.","TBC","Saratoga","Santa Clara","TBC","TBC","TBC","TBC","TBC","TBC","TBC"
"Construction Observ.","Lumbertown Lane","Saratoga","Santa Clara","64","E","6","TBC","TBC","21315","TBC"
"Crawlspace","PILAR COURT","San Jose","TBC","TBC","TBC","TBC","000-000-000","TBC","5858","TBC"
"Crawlspace","POPPY LANE","Monte Sereno","SANTA CLARA","TBC","TBC","PG 70 E-3","000-000-000","TBC","15835","TBC"
"Debri Flow","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC","TBC"
"Debri Flow","CLEAR CREEK ROAD","TBC","Santa Cruz","TBC","TBC","TBC","000-000-000","TBC","11837","TBC"
"Deck","BRUSH ROAD","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","21097","TBC"
"Deck","SKYLINE BOULEVARD","TBC","SANTA CLARA","TBC","TBC","TBC","000-000-000","TBC","19800","TBC"
"DECK","OVERLOOK ROAD","Los Gatos","SANTA CLARA","TBC","TBC","PG 70 D-4","000-000-000","TBC","19190","TBC"
